Symbol,Buy Date,Buy Price,Final Price,Shares,Final Market Value,Cost Basis,Total P&L,Total P&L %,Final Weight %
ON,2025-05-01,39.60,56.82,265,15057.30,10494.00,4563.30,43.48,8.28
SPNS,2025-08-01,26.75,26.75,472,12626.00,12626.00,0.00,0.00,6.95
VSAT,2025-08-01,16.58,16.58,761,12617.38,12617.38,0.00,0.00,6.94
ASGN,2025-08-01,48.60,48.60,259,12587.40,12587.40,0.00,0.00,6.92
MCHP,2025-08-01,65.90,65.90,191,12586.90,12586.90,0.00,0.00,6.92
YOU,2025-01-02,26.50,28.84,436,12574.24,11554.00,1020.24,8.83,6.92
QLYS,2025-08-01,130.53,130.53,96,12530.88,12530.88,0.00,0.00,6.89
IT,2025-08-01,328.54,328.54,38,12484.52,12484.52,0.00,0.00,6.87
TXN,2025-08-01,180.86,180.86,69,12479.34,12479.34,0.00,0.00,6.86
CHKP,2025-08-01,188.58,188.58,66,12446.28,12446.28,0.00,0.00,6.85
WDAY,2025-07-01,239.23,222.22,55,12222.10,13157.65,-935.55,-7.11,6.72
FTNT,2025-06-02,102.47,97.36,115,11196.40,11784.05,-587.65,-4.99,6.16
SWKS,2025-05-01,63.97,67.06,164,10997.84,10491.08,506.76,4.83,6.05
BILL,2025-05-01,45.49,41.73,231,9639.63,10508.19,-868.56,-8.27,5.30
ADBE,2025-01-02,441.00,347.80,26,9042.80,11466.00,-2423.20,-21.13,4.97
,,,,,,,,,
Final Summary,,,,,,,,,
Total Portfolio Value,181794.00,,,,,,,,
Cash Balance,704.99,,,,,,,,
Total Stock Value,181089.01,,,,,,,,
Total Return %,81.79,,,,,,,,
Initial Capital,100000.00,,,,,,,,
